35 595
0.10271745155278422 0.8577814145361805
0.570956096713696 0.9194700076286323
0.010186551168945956 0.9975729341522331
0.19500340133433924 0.5932210394225469
0.1024977196522101 0.6006208735026058
0.5071195607028953 0.3012868740561696
0.48689964064280733 0.08277142795594283
0.8601751789116797 0.48516484951957983
0.3698098012123153 0.6162847881569854
0.7279433423207512 0.6370975939637133
0.32041204148286606 0.8088727985383627
0.058012457652480864 0.11039091965078307
0.3995037530182688 0.5893869515712961
0.3800011435930648 0.6965998783271442
0.6499373661055091 0.7675032107956082
0.29573885957297763 0.4625910802888341
0.09021720799666544 0.2571164407030557
0.034192793475834815 0.16523229815730045
0.1791047040527849 0.8659929199862173
0.6627819735253069 0.1343973830296178
0.4354030277685025 0.935153409054193
0.40629163619169484 0.585981086031199
0.19597882015118961 0.31875743429025905
0.8455897320759497 0.2814345801600048
0.9771771424328118 0.3438953523148144
0.9772952182145931 0.7957065768721718
0.9083445987646434 0.9205458407854875
0.8664080659615246 0.378311760488272
0.4938673796115559 0.3231507619395513
0.8964771683360937 0.6690689963923182
0.6335906662515045 0.37421509521432683
0.42778727017087204 0.9593622820588878
0.7186352876681871 0.28006899186930434
0.7021755784261555 0.0982500510382811
0.848200830663268 0.6933971096159501
0 1 3
0 2 1
0 3 3
0 4 2
0 5 3
0 6 1
0 7 1
0 8 1
0 9 2
0 10 3
0 11 2
0 12 1
0 13 1
0 14 1
0 15 2
0 16 2
0 17 2
0 18 2
0 19 3
0 20 1
0 21 3
0 22 2
0 23 1
0 24 1
0 25 3
0 26 2
0 27 1
0 28 2
0 29 3
0 30 1
0 31 2
0 32 3
0 33 2
0 34 1
1 2 3
1 3 1
1 4 3
1 5 1
1 6 2
1 7 1
1 8 2
1 9 2
1 10 1
1 11 1
1 12 2
1 13 2
1 14 3
1 15 1
1 16 2
1 17 2
1 18 1
1 19 3
1 20 2
1 21 3
1 22 2
1 23 2
1 24 1
1 25 1
1 26 1
1 27 2
1 28 2
1 29 1
1 30 3
1 31 3
1 32 1
1 33 3
1 34 3
2 3 2
2 4 1
2 5 1
2 6 1
2 7 2
2 8 1
2 9 1
2 10 2
2 11 3
2 12 3
2 13 1
2 14 2
2 15 3
2 16 2
2 17 2
2 18 1
2 19 1
2 20 2
2 21 3
2 22 2
2 23 2
2 24 1
2 25 2
2 26 3
2 27 1
2 28 1
2 29 3
2 30 3
2 31 2
2 32 3
2 33 3
2 34 1
3 4 1
3 5 2
3 6 3
3 7 3
3 8 3
3 9 3
3 10 2
3 11 1
3 12 1
3 13 3
3 14 2
3 15 1
3 16 3
3 17 3
3 18 3
3 19 2
3 20 2
3 21 1
3 22 2
3 23 1
3 24 2
3 25 2
3 26 2
3 27 2
3 28 3
3 29 3
3 30 1
3 31 3
3 32 2
3 33 3
3 34 3
4 5 3
4 6 1
4 7 2
4 8 2
4 9 3
4 10 1
4 11 2
4 12 3
4 13 3
4 14 3
4 15 3
4 16 1
4 17 3
4 18 3
4 19 2
4 20 2
4 21 1
4 22 3
4 23 3
4 24 3
4 25 1
4 26 2
4 27 2
4 28 1
4 29 1
4 30 3
4 31 1
4 32 2
4 33 2
4 34 1
5 6 1
5 7 3
5 8 2
5 9 2
5 10 1
5 11 2
5 12 2
5 13 2
5 14 2
5 15 1
5 16 2
5 17 3
5 18 1
5 19 1
5 20 1
5 21 2
5 22 2
5 23 3
5 24 2
5 25 3
5 26 2
5 27 3
5 28 1
5 29 2
5 30 1
5 31 3
5 32 3
5 33 1
5 34 1
6 7 1
6 8 2
6 9 2
6 10 3
6 11 3
6 12 3
6 13 1
6 14 3
6 15 3
6 16 3
6 17 1
6 18 2
6 19 1
6 20 3
6 21 3
6 22 3
6 23 2
6 24 2
6 25 1
6 26 2
6 27 1
6 28 1
6 29 1
6 30 3
6 31 1
6 32 2
6 33 1
6 34 3
7 8 1
7 9 3
7 10 2
7 11 1
7 12 1
7 13 3
7 14 2
7 15 3
7 16 1
7 17 3
7 18 2
7 19 3
7 20 3
7 21 3
7 22 1
7 23 3
7 24 1
7 25 1
7 26 2
7 27 3
7 28 2
7 29 1
7 30 1
7 31 3
7 32 3
7 33 1
7 34 2
8 9 3
8 10 3
8 11 2
8 12 1
8 13 1
8 14 2
8 15 1
8 16 3
8 17 1
8 18 3
8 19 1
8 20 1
8 21 3
8 22 3
8 23 3
8 24 1
8 25 1
8 26 2
8 27 2
8 28 3
8 29 1
8 30 2
8 31 3
8 32 3
8 33 2
8 34 1
9 10 2
9 11 2
9 12 3
9 13 3
9 14 3
9 15 3
9 16 1
9 17 2
9 18 1
9 19 3
