60 760
0.154514711141559 0.908831626148994
0.6571405712037894 0.324979441356944
0.018913347318603835 0.4934876736997248
0.6048322865677465 0.5898716985766365
0.15583998118979625 0.19108735147658695
0.389099928824448 0.9813587519037815
0.8620143939355783 0.16382903802048354
0.9762761134367228 0.014431500444377021
0.8660938677306987 0.42663088900104085
0.3569686086924342 0.7409371013737219
0.1252299356033154 0.06259218719050685
0.005395692792406592 0.5315198934035766
0.5353456200414674 0.8893694216353176
0.4446630843979662 0.5661103709947111
0.04008101800857655 0.7456984172217048
0.747914211256196 0.2108163359198818
0.07062980233734018 0.13917145055489966
0.798483566082751 0.07025986835775633
0.6711551335251696 0.49698469027590153
0.3719929406508091 0.937489509666928
0.9513622614530888 0.17073544073125235
0.5242774308556555 0.5497922160933014
0.8564487027883861 0.29577774694340986
0.6255909380948544 0.26373652098324507
0.08057121289015845 0.7004590443506726
0.07127515934587225 0.6098717566530516
0.10928142867578727 0.6855173116011049
0.046633014431240016 0.4386527133692363
0.9546461824840919 0.4814463428629575
0.8414924761160274 0.36284260809709334
0.07983082562255239 0.49582694698998164
0.5854558118611819 0.051429020434776596
0.3305663924731057 0.09194165585051539
0.5739299861992971 0.9345950954631262
0.5767512980365258 0.0049477546332901134
0.1745881839007053 0.369100999288404
0.7414786525947676 0.011796068972012352
0.17887307434232036 0.04502384552059635
0.35870092431199085 0.3937485957433181
0.8074672903192937 0.42375304330565156
0.7882857985348242 0.6574351328399956
0.8005058541826353 0.832151904299862
0.22243803825205544 0.7405649144165839
0.49032613416601123 0.9971422648945135
0.1861951339898802 0.38412160329943856
0.47299744977391256 0.5034983793922482
0.986069001168985 0.07317263732758261
0.456403440743713 0.05452602058213807
0.638736878653586 0.8816755406296347
0.13056429072760012 0.9642976871856752
0.7448610939933343 0.06707568833462274
0.12830707059210822 0.03718445129784531
0.26651600452007007 0.01608297064728159
0.664264866306225 0.0287331913649157
0.6451967556675774 0.8336845219332719
0.7545993944269186 0.15883268128011196
0.7398819077465788 0.45105680493638245
0.27349887927328753 0.931695167712446
0.3565937144426059 0.4962379547350825
0.14274797936289962 0.7986019040863308
0 1 4
0 2 4
0 3 1
0 4 2
0 5 4
0 6 2
0 7 3
0 8 1
0 9 4
0 10 1
0 11 2
0 12 3
0 13 4
0 14 1
0 15 4
0 16 2
0 17 2
0 18 3
0 19 3
1 2 4
1 3 2
1 4 4
1 5 3
1 6 4
1 7 1
1 8 4
1 9 4
1 10 2
1 11 2
1 12 3
1 13 2
1 14 4
1 15 3
1 16 3
1 17 3
1 18 4
1 19 2
2 3 1
2 4 4
2 5 2
2 6 3
2 7 1
2 8 3
2 9 2
2 10 3
2 11 3
2 12 3
2 13 2
2 14 3
2 15 2
2 16 2
2 17 4
2 18 2
2 19 2
3 4 2
3 5 2
3 6 4
3 7 3
3 8 3
3 9 2
3 10 1
3 11 4
3 12 4
3 13 2
3 14 1
3 15 4
3 16 1
3 17 4
3 18 1
3 19 2
4 5 1
4 6 1
4 7 4
4 8 2
4 9 3
4 10 2
4 11 2
4 12 4
4 13 4
4 14 3
4 15 2
4 16 3
4 17 4
4 18 1
4 19 2
5 6 4
5 7 2
5 8 4
5 9 1
5 10 1
5 11 2
5 12 2
5 13 1
5 14 4
5 15 3
5 16 1
5 17 1
5 18 3
5 19 3
6 7 1
6 8 4
6 9 1
6 10 2
6 11 3
6 12 4
6 13 3
6 14 4
6 15 4
6 16 4
6 17 2
6 18 3
6 19 4
7 8 1
7 9 3
7 10 2
7 11 3
7 12 4
7 13 4
7 14 1
7 15 3
7 16 4
7 17 3
7 18 4
7 19 1
8 9 3
8 10 3
8 11 1
8 12 1
8 13 4
8 14 1
8 15 4
8 16 2
8 17 1
8 18 3
8 19 4
9 10 3
9 11 3
9 12 4
9 13 1
9 14 1
9 15 3
9 16 3
9 17 1
9 18 4
9 19 1
10 11 3
10 12 1
10 13 1
10 14 4
10 15 2
10 16 4
10 17 3
10 18 4
10 19 3
11 12 4
11 13 4
11 14 4
11 15 1
11 16 4
11 17 1
11 18 3
11 19 2
12 13 1
12 14 3
12 15 3
12 16 1
12 17 1
12 18 1
12 19 1
13 14 1
13 15 1
13 16 1
13 17 1
13 18 4
13 19 4
14 15 2
14 16 2
14 17 3
14 18 2
14 19 1
15 16 2
15 17 4
15 18 3
15 19 1
16 17 1
16 18 2
16 19 1
17 18 1
17 19 1
18 19 1
20 21 1
20 21 1
20 22 3
20 22 3
20 23 1
20 23 1
20 24 4
20 24 4
20 25 3
20 25 4
20 26 1
20 26 4
20 27 1
20 27 2
20 28 1
20 28 3
20 29 2
20 29 2
20 30 4
20 30 1
20 31 2
20 31 2
20 32 1
20 32 2
20 33 3
20 33 1
20 34 4
20 34 1
20 35 3
20 35 2
20 36 3
20 36 4
20 37 2
20 37 1
20 38 4
20 38 1
20 39 1
20 39 3
21 22 2
21 22 4
21 23 3
21 23 2
21 24 2
21 24 1
21 25 2
21 25 3
21 26 2
21 26 2
21 27 2
21 27 1
21 28 1
21 28 2
21 29 3
21 29 2
21 30 4
21 30 3
21 31 2
21 31 3
21 32 1
21 32 2
21 33 2
21 33 1
21 34 3
21 34 3
21 35 3
21 35 4
21 36 3
21 36 3
21 37 2
21 37 1
21 38 4
21 38 4
21 39 4
21 39 4
22 23 3
22 23 3
22 24 4
22 24 4
22 25 3
22 25 3
22 26 3
22 26 4
22 27 2
22 27 4
22 28 4
22 28 1
22 29 2
22 29 1
22 30 2
22 30 4
22 31 3
22 31 1
22 32 4
22 32 3
22 33 4
22 33 3
22 34 2
22 34 3
22 35 4
22 35 1
22 36 3
22 36 1
22 37 4
22 37 1
22 38 1
22 38 3
22 39 3
22 39 4
23 24 3
23 24 1
23 25 4
23 25 1
23 26 3
23 26 4
23 27 1
23 27 2
23 28 3
23 28 3
23 29 3
23 29 1
23 30 1
23 30 1
23 31 4
23 31 2
23 32 1
23 32 1
23 33 4
23 33 4
23 34 2
23 34 4
23 35 3
23 35 3
23 36 1
23 36 3
23 37 4
23 37 2
23 38 4
23 38 2
23 39 4
23 39 2
24 25 3
24 25 2
24 26 4
24 26 1
24 27 4
24 27 1
24 28 1
24 28 2
24 29 4
24 29 1
24 30 1
24 30 1
24 31 2
24 31 1
24 32 1
24 32 1
24 33 1
24 33 3
24 34 4
24 34 4
24 35 3
24 35 3
24 36 3
24 36 2
24 37 2
24 37 3
24 38 4
24 38 1
24 39 2
24 39 2
25 26 4
25 26 1
25 27 2
25 27 2
